"code_muni","year","municipio","prop_wom_headfamily","Theil-L","Gini","%_pop_with_sanitation","child_death","income_percapita","wom_death_100.000hab","wom_death_10.000hab","w_young_prop"
110008,2010,"Costa Marques",32.5,0.48,0.52,54.32,25.8,370.77,1.45687645687646,1.45687645687646,1270.0946969697
110008,2014,"Costa Marques",32.5,0.48,0.52,54.32,25.8,370.77,5.21988777241289,5.21988777241289,1492.08625864544
110008,2013,"Costa Marques",32.5,0.48,0.52,54.32,25.8,370.77,0,0,1480.08742803588
110008,2012,"Costa Marques",32.5,0.48,0.52,54.32,25.8,370.77,1.37494843943352,1.37494843943352,1405.09033411247
110009,2013,"Espigão D'Oeste",33.3,0.48,0.52,84.71,15.4,590.8,0,0,2851.0938203331
110009,2012,"Espigão D'Oeste",33.3,0.48,0.52,84.71,15.4,590.8,0.651168848082308,0.651168848082308,2862.09467995051
110009,2011,"Espigão D'Oeste",33.3,0.48,0.52,84.71,15.4,590.8,1.31908719166337,1.31908719166337,2870.09543595832
110009,2015,"Espigão D'Oeste",33.3,0.48,0.52,84.71,15.4,590.8,1.25431169645657,1.25431169645657,2772.0896832863
110009,2010,"Espigão D'Oeste",33.3,0.48,0.52,84.71,15.4,590.8,2.00789773107556,2.00789773107556,2871.0958436517
110009,2014,"Espigão D'Oeste",33.3,0.48,0.52,84.71,15.4,590.8,1.90439916206437,1.90439916206437,2810.09147463975
110010,2012,"Guajará-Mirim",40.9,0.51,0.54,49.32,14.8,494.69,2.23793751678453,2.23793751678453,4232.08647390565
110010,2011,"Guajará-Mirim",40.9,0.51,0.54,49.32,14.8,494.69,2.25917223929152,2.25917223929152,4212.08770106633
110010,2014,"Guajará-Mirim",40.9,0.51,0.54,49.32,14.8,494.69,2.63643553915107,2.63643553915107,4210.08252043238
110010,2015,"Guajará-Mirim",40.9,0.51,0.54,49.32,14.8,494.69,2.61437908496732,2.61437908496732,4191.08052287582
110010,2010,"Guajará-Mirim",40.9,0.51,0.54,49.32,14.8,494.69,4.10527756237741,4.10527756237741,4199.08862838115
110010,2013,"Guajará-Mirim",40.9,0.51,0.54,49.32,14.8,494.69,2.66122593808214,2.66122593808214,4244.08507052249
110011,2015,"Jaru",33.7,0.44,0.49,82.81,14.6,575.14,1.42242452259877,1.42242452259877,4833.09252871519
110011,2013,"Jaru",33.7,0.44,0.49,82.81,14.6,575.14,1.43302403897825,1.43302403897825,5115.0956901802
110011,2012,"Jaru",33.7,0.44,0.49,82.81,14.6,575.14,2.15881696830137,2.15881696830137,5188.09815421149
110011,2010,"Jaru",33.7,0.44,0.49,82.81,14.6,575.14,2.53715114171801,2.53715114171801,5346.10097861544
110011,2011,"Jaru",33.7,0.44,0.49,82.81,14.6,575.14,5.7830628546644,5.7830628546644,5262.10011927567
110011,2014,"Jaru",33.7,0.44,0.49,82.81,14.6,575.14,0.713903266107442,0.713903266107442,4964.0945564876
110012,2011,"Ji-Paraná",34.2,0.52,0.53,89.31,16.2,743.35,1.43111563414324,1.43111563414324,12145.0989695967
110012,2014,"Ji-Paraná",34.2,0.52,0.53,89.31,16.2,743.35,2.62244504435017,2.62244504435017,11659.0963517162
110012,2010,"Ji-Paraná",34.2,0.52,0.53,89.31,16.2,743.35,3.05417135508761,3.05417135508761,12279.0990998232
110012,2012,"Ji-Paraná",34.2,0.52,0.53,89.31,16.2,743.35,1.73078436000315,1.73078436000315,11973.0981512076
110012,2015,"Ji-Paraná",34.2,0.52,0.53,89.31,16.2,743.35,2.44539882926531,2.44539882926531,11432.0956456617
110012,2013,"Ji-Paraná",34.2,0.52,0.53,89.31,16.2,743.35,3.42636431597309,3.42636431597309,11780.0969349614
110013,2014,"Machadinho D'Oeste",29,0.52,0.55,69.34,25,401.42,3.49385663541606,3.49385663541606,3158.08973388459
110013,2015,"Machadinho D'Oeste",29,0.52,0.55,69.34,25,401.42,3.9854247324072,3.9854247324072,3174.08813482123
110013,2011,"Machadinho D'Oeste",29,0.52,0.55,69.34,25,401.42,3.13952028130102,3.13952028130102,3023.09424839884
110013,2012,"Machadinho D'Oeste",29,0.52,0.55,69.34,25,401.42,6.72043010752688,6.72043010752688,3108.09261974585
110013,2010,"Machadinho D'Oeste",29,0.52,0.55,69.34,25,401.42,1.29123894376654,1.29123894376654,2947.09484150042
110013,2013,"Machadinho D'Oeste",29,0.52,0.55,69.34,25,401.42,1.7862459065198,1.7862459065198,3194.09050312593
110014,2012,"Nova Brasilândia D'Oeste",18.9,0.57,0.56,74.6,23.8,499.59,2.92226767971946,2.92226767971946,1977.08679135009
110014,2011,"Nova Brasilândia D'Oeste",18.9,0.57,0.56,74.6,23.8,499.59,0.98116169544741,0.98116169544741,1981.08801020408
110014,2015,"Nova Brasilândia D'Oeste",18.9,0.57,0.56,74.6,23.8,499.59,0.951746454744456,0.951746454744456,1985.08156467117
110014,2014,"Nova Brasilândia D'Oeste",18.9,0.57,0.56,74.6,23.8,499.59,1.91828122002686,1.91828122002686,1983.08315749089
110014,2013,"Nova Brasilândia D'Oeste",18.9,0.57,0.56,74.6,23.8,499.59,2.90275761973875,2.90275761973875,1962.08514755685
110014,2010,"Nova Brasilândia D'Oeste",18.9,0.57,0.56,74.6,23.8,499.59,0.987947046038332,0.987947046038332,1984.08871764473
110015,2015,"Ouro Preto do Oeste",29.9,0.4,0.48,91.58,16.3,576.51,0,0,3443.09050017112
110015,2013,"Ouro Preto do Oeste",29.9,0.4,0.48,91.58,16.3,576.51,3.42901930048006,3.42901930048006,3669.0926325071
110015,2014,"Ouro Preto do Oeste",29.9,0.4,0.48,91.58,16.3,576.51,2.93657008613939,2.93657008613939,3561.09176781519
110015,2012,"Ouro Preto do Oeste",29.9,0.4,0.48,91.58,16.3,576.51,1.96174595389897,1.96174595389897,3763.09455615498
110015,2011,"Ouro Preto do Oeste",29.9,0.4,0.48,91.58,16.3,576.51,2.45350606015997,2.45350606015997,3849.09583394671
110015,2010,"Ouro Preto do Oeste",29.9,0.4,0.48,91.58,16.3,576.51,0.981257972721028,0.981257972721028,3931.09591796683
110018,2014,"Pimenta Bueno",30.9,0.52,0.54,91.07,17.6,734.76,3.26228795128317,3.26228795128317,3378.09351892127
110018,2010,"Pimenta Bueno",30.9,0.52,0.54,91.07,17.6,734.76,6.19857996168151,6.19857996168151,3481.09573988504
110018,2015,"Pimenta Bueno",30.9,0.52,0.54,91.07,17.6,734.76,3.23554788610871,3.23554788610871,3337.09286022433
110018,2013,"Pimenta Bueno",30.9,0.52,0.54,91.07,17.6,734.76,4.38861155301991,4.38861155301991,3394.09435514839
110018,2012,"Pimenta Bueno",30.9,0.52,0.54,91.07,17.6,734.76,2.76518084282712,2.76518084282712,3431.09495631014
110018,2011,"Pimenta Bueno",30.9,0.52,0.54,91.07,17.6,734.76,3.34616028107746,3.34616028107746,3461.0956444147
110020,2012,"Porto Velho",39.9,0.56,0.56,72.14,15.52,929.19,3.54028149555306,3.54028149555306,45650.1038727226
110020,2015,"Porto Velho",39.9,0.56,0.56,72.14,15.52,929.19,2.95712173484475,2.95712173484475,45226.1026490882
110020,2011,"Porto Velho",39.9,0.56,0.56,72.14,15.52,929.19,3.73762735415558,3.73762735415558,45754.1036510023
110020,2014,"Porto Velho",39.9,0.56,0.56,72.14,15.52,929.19,2.58709540122929,2.58709540122929,45584.1028829423
110020,2010,"Porto Velho",39.9,0.56,0.56,72.14,15.52,929.19,3.72369300618671,3.72369300618671,45682.1031821873
110020,2013,"Porto Velho",39.9,0.56,0.56,72.14,15.52,929.19,2.67300267300267,2.67300267300267,45495.1037506895
110025,2012,"Presidente Médici",27.3,0.48,0.53,85.3,19.2,520.2,2.61985852763951,2.61985852763951,2018.08558204524
110025,2015,"Presidente Médici",27.3,0.48,0.53,85.3,19.2,520.2,2.68264329786283,2.68264329786283,1735.08459268533
110025,2013,"Presidente Médici",27.3,0.48,0.53,85.3,19.2,520.2,2.6431718061674,2.6431718061674,1941.08396475771
110025,2011,"Presidente Médici",27.3,0.48,0.53,85.3,19.2,520.2,4.3271311120727,4.3271311120727,2084.08645607962
110025,2014,"Presidente Médici",27.3,0.48,0.53,85.3,19.2,520.2,2.66146202980837,2.66146202980837,1830.08498935415
110025,2010,"Presidente Médici",27.3,0.48,0.53,85.3,19.2,520.2,0.858074480864939,0.858074480864939,2147.08675133002
110026,2010,"Rio Crespo",31.5,0.59,0.58,83.94,16.2,420.61,6.08272506082725,6.08272506082725,308.093673965937
110026,2015,"Rio Crespo",31.5,0.59,0.58,83.94,16.2,420.61,0,0,328.082231167338
110026,2012,"Rio Crespo",31.5,0.59,0.58,83.94,16.2,420.61,11.85536455246,11.85536455246,318.088915234143
110026,2014,"Rio Crespo",31.5,0.59,0.58,83.94,16.2,420.61,0,0,327.084539664157
110026,2013,"Rio Crespo",31.5,0.59,0.58,83.94,16.2,420.61,11.6890707188778,11.6890707188778,329.085914669784
110026,2011,"Rio Crespo",31.5,0.59,0.58,83.94,16.2,420.61,0,0,311.091947115385
110028,2013,"Rolim de Moura",30,0.51,0.53,93.72,16.9,657.65,2.87325360054592,2.87325360054592,5241.09955823726
110028,2010,"Rolim de Moura",30,0.51,0.53,93.72,16.9,657.65,3.33271616367339,3.33271616367339,5409.10131457138
110028,2011,"Rolim de Moura",30,0.51,0.53,93.72,16.9,657.65,1.46659822541615,1.46659822541615,5365.10134193738
110028,2015,"Rolim de Moura",30,0.51,0.53,93.72,16.9,657.65,2.82366228999012,2.82366228999012,5072.10168713822
110028,2014,"Rolim de Moura",30,0.51,0.53,93.72,16.9,657.65,2.84839421775974,2.84839421775974,5173.10115359966
110028,2012,"Rolim de Moura",30,0.51,0.53,93.72,16.9,657.65,6.16679363006493,6.16679363006493,5307.10070011245
110029,2015,"Santa Luzia D'Oeste",20.3,0.44,0.49,87.69,16.3,476.08,4.8390999274135,4.8390999274135,717.076457778853
110029,2014,"Santa Luzia D'Oeste",20.3,0.44,0.49,87.69,16.3,476.08,4.74946568511043,4.74946568511043,746.078603657089
110029,2013,"Santa Luzia D'Oeste",20.3,0.44,0.49,87.69,16.3,476.08,6.99626865671642,6.99626865671642,759.081389925373
110029,2012,"Santa Luzia D'Oeste",20.3,0.44,0.49,87.69,16.3,476.08,2.28885328450446,2.28885328450446,798.083314259556
110029,2010,"Santa Luzia D'Oeste",20.3,0.44,0.49,87.69,16.3,476.08,0,0,863.084671211788
110029,2011,"Santa Luzia D'Oeste",20.3,0.44,0.49,87.69,16.3,476.08,0,0,831.084586044425
110030,2014,"Vilhena",35.7,0.46,0.5,97.28,16.98,768.98,1.99313475805559,1.99313475805559,8337.09830583546
110030,2011,"Vilhena",35.7,0.46,0.5,97.28,16.98,768.98,2.15125729037193,2.15125729037193,8123.09972272684
