351560,Fernando Prestes,"35,4"
351565,Fernão,"35,1"
351570,Ferraz de Vasconcelos,"37,3"
351580,Flora Rica,"39,1"
351590,Floreal,"34,4"
351600,Flórida Paulista,"31,5"
351610,Florínia,"42,5"
351620,Franca,"38,7"
351630,Francisco Morato,"37,9"
351640,Franco da Rocha,"38,6"
351650,Gabriel Monteiro,"39,5"
351660,Gália,"36,2"
351670,Garça,"38,6"
351680,Gastão Vidigal,"33,2"
351685,Gavião Peixoto,"33,1"
351690,General Salgado,"34,8"
351700,Getulina,"37,5"
351710,Glicério,"33,6"
351720,Guaiçara,"35,4"
351730,Guaimbê,"37,4"
351740,Guaíra,"30,9"
351750,Guapiaçu,"32,6"
351760,Guapiara,"37,2"
351770,Guará,"35,3"
351780,Guaraçaí,"33,7"
351790,Guaraci,"33,6"
351800,Guarani d'Oeste,"38,4"
351810,Guarantã,37
351820,Guararapes,34
351830,Guararema,"34,3"
351840,Guaratinguetá,"37,3"
351850,Guareí,"31,5"
351860,Guariba,"30,1"
351870,Guarujá,"36,3"
351880,Guarulhos,"37,7"
351885,Guatapará,"31,6"
351890,Guzolândia,"36,5"
351900,Herculândia,"31,5"
351905,Holambra,"38,2"
351907,Hortolândia,"35,7"
351910,Iacanga,"32,5"
351920,Iacri,"32,4"
351925,Iaras,"39,2"
351930,Ibaté,"30,4"
351940,Ibirá,"34,6"
351950,Ibirarema,"33,4"
351960,Ibitinga,"40,6"
351970,Ibiúna,"34,4"
351980,Icém,"32,3"
351990,Iepê,"34,3"
352000,Igaraçu do Tietê,"34,3"
352010,Igarapava,"34,2"
352020,Igaratá,"33,9"
352030,Iguape,"38,2"
352040,Ilhabela,"40,8"
352042,Ilha Comprida,40
352044,Ilha Solteira,"35,5"
352050,Indaiatuba,"34,8"
352060,Indiana,"33,8"
352070,Indiaporã,"35,9"
352080,Inúbia Paulista,"32,6"
352090,Ipaussu,"33,9"
352100,Iperó,"31,7"
352110,Ipeúna,"31,4"
352115,Ipiguá,"30,3"
352120,Iporanga,"43,7"
352130,Ipuã,"29,7"
352140,Iracemápolis,"31,3"
352150,Irapuã,"30,4"
352160,Irapuru,"36,8"
352170,Itaberá,"39,4"
352180,Itaí,"32,9"
352190,Itajobi,35
352200,Itaju,"28,4"
352210,Itanhaém,"40,8"
352215,Itaóca,42
352220,Itapecerica da Serra,"38,2"
352230,Itapetininga,"36,8"
352240,Itapeva,"34,7"
352250,Itapevi,"38,6"
352260,Itapira,"36,3"
352265,Itapirapuã Paulista,39
352270,Itápolis,36
352280,Itaporanga,"37,1"
352290,Itapuí,"34,7"
352300,Itapura,39
352310,Itaquaquecetuba,"35,6"
352320,Itararé,"37,3"
352330,Itariri,"35,9"
352340,Itatiba,"37,3"
352350,Itatinga,"31,3"
352360,Itirapina,"35,6"
352370,Itirapuã,38
