municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
Jandaíra (RN);3287;1055;136;79;2017;-;-
Janduís (RN);2695;981;204;118;1392;-;-
Januário Cicco (RN);4374;1480;116;37;2740;1;-
Japi (RN);2716;990;22;21;1683;-;-
Jardim de Angicos (RN);1254;151;8;8;1087;-;-
Jardim de Piranhas (RN);6782;4179;133;39;2429;1;1
Jardim do Seridó (RN);6227;4153;242;34;1792;6;-
João Câmara (RN);16185;5458;962;368;9247;150;-
João Dias (RN);1320;549;30;32;709;-;-
José da Penha (RN);3046;1628;99;15;1303;1;-
Jucurutu (RN);8823;3907;356;58;4502;-;-
Jundiá (RN);1704;635;92;12;965;-;-
Lagoa d'Anta (RN);3095;1284;273;58;1470;10;-
Lagoa de Pedras (RN);3424;1131;46;23;2221;3;-
Lagoa de Velhos (RN);1301;485;42;-;774;-;-
Lagoa Nova (RN);7059;2459;282;57;4260;1;-
Lagoa Salgada (RN);3764;1320;70;7;2365;2;-
Lajes (RN);5217;1836;131;109;3141;-;-
Lajes Pintadas (RN);2264;555;46;9;1654;-;-
Lucrécia (RN);1804;937;86;11;770;-;-
Luís Gomes (RN);4887;2038;281;41;2527;-;-
Macaíba (RN);35033;10796;1967;346;21907;17;-
Macau (RN);14772;4838;1718;239;7964;13;-
Major Sales (RN);1787;684;24;7;1072;-;-
Marcelino Vieira (RN);4201;2321;214;49;1617;-;-
Martins (RN);4175;1859;149;11;2151;5;-
Maxaranguape (RN);5091;1142;241;58;3650;-;-
Messias Targino (RN);2069;660;91;34;1284;-;-
Montanhas (RN);5748;2341;224;59;3122;2;-
Monte Alegre (RN);10410;3598;428;103;6281;-;-
Monte das Gameleiras (RN);1107;538;42;33;494;-;-
Mossoró (RN);134068;58230;7200;2089;66454;93;2
Natal (RN);425792;196625;18618;4745;205354;442;8
Nísia Floresta (RN);11496;3756;651;127;6954;8;-
Nova Cruz (RN);17991;7717;465;145;9661;3;-
Olho-d'Água do Borges (RN);2084;993;63;23;1005;-;-
Ouro Branco (RN);2345;1692;36;-;617;-;-
Paraná (RN);1911;990;25;9;887;-;-
Paraú (RN);1934;662;93;48;1131;-;-
Parazinho (RN);2411;705;97;35;1574;-;-
Parelhas (RN);10393;7024;618;93;2655;3;-
Rio do Fogo (RN);4925;1345;216;56;3302;6;-
Passa e Fica (RN);5592;2275;160;69;3086;2;-
Passagem (RN);1441;557;54;25;805;-;-
Patu (RN);6078;3123;467;86;2401;1;-
Santa Maria (RN);2343;705;13;1;1624;-;-
Pau dos Ferros (RN);14229;7860;811;202;5354;2;-
Pedra Grande (RN);1749;465;73;41;1170;-;-
Pedra Preta (RN);1250;376;10;-;864;-;-
Pedro Avelino (RN);3480;1141;85;39;2213;2;-
Pedro Velho (RN);6954;2639;224;49;4034;8;-
Pendências (RN);6739;2044;762;144;3788;1;-
Pilões (RN);1724;731;116;46;831;-;-
Poço Branco (RN);6892;1978;154;46;4713;1;-
Portalegre (RN);3735;1505;382;49;1798;1;-
Porto do Mangue (RN);2487;720;73;23;1668;3;-
Presidente Juscelino (RN);4297;1690;258;75;2272;2;-
Pureza (RN);4147;1202;247;96;2601;1;-
Rafael Fernandes (RN);2364;1469;103;10;782;-;-
Rafael Godeiro (RN);1526;979;37;11;499;-;-
Riacho da Cruz (RN);1548;578;158;44;761;7;-
Riacho de Santana (RN);2083;1107;37;2;937;-;-
Riachuelo (RN);3507;921;110;31;2445;-;-
Rodolfo Fernandes (RN);2245;953;158;-;1134;-;-
Tibau (RN);1840;659;92;16;1073;-;-
Ruy Barbosa (RN);1760;431;15;15;1299;-;-
Santa Cruz (RN);18325;7885;761;312;9346;21;-
Santana do Matos (RN);6940;2598;146;52;4144;-;-
Santana do Seridó (RN);1259;940;66;8;245;-;-
Santo Antônio (RN);11117;4363;214;64;6474;2;-
São Bento do Norte (RN);1451;393;120;20;918;-;-
São Bento do Trairí (RN);1965;766;62;32;1104;1;-
São Fernando (RN);1664;1160;34;8;462;-;-
São Francisco do Oeste (RN);1929;996;86;43;804;-;-
São Gonçalo do Amarante (RN);44489;15006;3065;657;25726;35;-
São João do Sabugi (RN);2999;1743;111;46;1099;-;-
São José de Mipibu (RN);19932;7012;822;180;11907;11;-
São José do Campestre (RN);6206;2148;199;20;3839;-;-
São José do Seridó (RN);2109;1332;111;17;648;1;-
São Miguel (RN);11585;7248;374;58;3902;3;-
São Miguel do Gostoso (RN);4196;1336;386;110;2354;10;-
São Paulo do Potengi (RN);8019;2915;335;8;4760;1;-
São Pedro (RN);3063;857;130;17;2059;-;-
São Rafael (RN);3981;1937;59;38;1945;2;-
São Tomé (RN);5391;1708;282;89;3311;1;-
São Vicente (RN);3084;1690;39;9;1341;5;-
Senador Elói de Souza (RN);2777;793;98;4;1882;-;-
Senador Georgino Avelino (RN);1980;627;87;2;1264;-;-
Serra de São Bento (RN);2878;1099;155;10;1614;-;-
Serra do Mel (RN);4895;1697;208;71;2913;6;-
Serra Negra do Norte (RN);3869;1812;152;39;1865;1;-
Serrinha (RN);3129;1024;50;15;2040;-;-
Serrinha dos Pintos (RN);2247;1479;127;14;624;3;-
Severiano Melo (RN);2887;1235;76;56;1520;-;-
Sítio Novo (RN);2478;1180;30;4;1264;-;-
Taboleiro Grande (RN);1139;623;105;5;406;-;-
Taipu (RN);5724;1619;320;69;3710;6;-
Tangará (RN);7016;2639;275;79;4023;-;-
Tenente Ananias (RN);4904;2180;143;56;2525;-;-
Tenente Laurentino Cruz (RN);2660;1114;38;4;1504;-;-
Tibau do Sul (RN);5627;1866;386;55;3315;5;-
Timbaúba dos Batistas (RN);1150;602;58;8;482;-;-
Touros (RN);15021;4693;553;154;9611;9;1
Triunfo Potiguar (RN);1598;610;47;18;919;4;-
Umarizal (RN);5431;2651;117;49;2612;2;-
Upanema (RN);6273;2491;205;16;3561;-;-
Várzea (RN);2614;1120;69;9;1415;1;-
Venha-Ver (RN);1869;1110;20;2;737;-;-
Vera Cruz (RN);5364;2454;171;32;2703;4;-
Viçosa (RN);812;214;50;-;548;-;-
Vila Flor (RN);1412;446;76;16;874;-;-
Água Branca (PB);4730;1981;74;65;2609;1;-
Aguiar (PB);2824;1187;40;21;1576;-;-
Alagoa Grande (PB);14618;4390;1175;140;8913;-;-
Alagoa Nova (PB);9920;2914;486;166;6354;-;-
Alagoinha (PB);6872;1869;343;89;4568;3;-
Alcantil (PB);2615;1110;91;3;1411;-;-
Algodão de Jandaíra (PB);1149;413;99;2;635;-;-
Alhandra (PB);9143;2979;690;158;5302;14;-
São João do Rio do Peixe (PB);9261;4381;420;196;4252;12;-
Amparo (PB);1041;419;24;36;561;1;-
Aparecida (PB);3880;1299;380;100;2101;-;-
Araçagi (PB);8650;3566;610;55;4419;-;-
Arara (PB);6579;2354;149;57;4019;-;-
Araruna (PB);9555;3675;236;36;5608;-;-
Areia (PB);12160;3753;1016;305;7035;51;-
Areia de Baraúnas (PB);964;347;11;30;576;-;-
Areial (PB);3412;1250;117;35;2010;-;-
Aroeiras (PB);9860;3958;258;67;5571;6;-
Assunção (PB);1743;570;75;3;1092;3;-
Baía da Traição (PB);3972;611;56;9;476;2820;-
Bananeiras (PB);11067;4246;398;156;6266;1;-
Baraúna (PB);2110;756;116;24;1214;-;-
Barra de Santana (PB);4059;1779;70;16;2194;-;-
Barra de Santa Rosa (PB);7072;2691;297;115;3967;2;-
Barra de São Miguel (PB);2693;1559;118;20;996;-;-
Bayeux (PB);51980;19260;4717;1312;26527;164;-
Belém (PB);8748;3127;193;65;5359;4;-
Belém do Brejo do Cruz (PB);3536;1250;114;86;2086;-;-
Bernardino Batista (PB);1599;565;79;19;936;-;-
Boa Ventura (PB);2852;1027;189;53;1583;-;-
Boa Vista (PB);3142;1629;151;37;1315;10;-
Bom Jesus (PB);1181;449;54;18;660;-;-
Bom Sucesso (PB);2558;995;60;2;1501;-;-
Bonito de Santa Fé (PB);5454;1689;141;57;3566;1;-
Boqueirão (PB);8565;3882;310;38;4332;3;-
Igaracy (PB);3137;1425;105;28;1579;-;-
Borborema (PB);2553;862;197;16;1476;2;-
Brejo do Cruz (PB);6613;2780;119;91;3623;-;-
Brejo dos Santos (PB);3104;1575;45;18;1466;-;-
Caaporã (PB);10272;2583;779;295;6609;6;-
Cabaceiras (PB);2542;1315;106;-;1121;-;-
Cabedelo (PB);30314;12088;2092;562;15348;224;-
Cachoeira dos Índios (PB);4726;1612;181;63;2870;-;-
Cacimba de Areia (PB);1778;612;54;12;1100;-;-
Cacimba de Dentro (PB);8531;2727;159;56;5581;8;-
Cacimbas (PB);3530;897;260;225;2147;1;-
Caiçara (PB);3601;1271;152;14;2162;2;-
Cajazeiras (PB);30508;13496;1304;337;15365;6;-
Cajazeirinhas (PB);1485;642;204;3;636;-;-
Caldas Brandão (PB);2835;1162;188;7;1477;1;-
Camalaú (PB);2909;1102;117;46;1644;-;-
Campina Grande (PB);203008;91230;10735;2732;98003;307;1
Capim (PB);2786;1164;152;67;1393;10;-
Caraúbas (PB);1927;713;53;58;1103;-;-
Carrapateira (PB);1131;755;23;9;344;-;-
Casserengue (PB);3509;1102;60;6;2341;-;-
Catingueira (PB);2399;815;124;8;1452;-;-
Catolé do Rocha (PB);14731;6457;841;222;7195;16;-
Caturité (PB);2243;1091;33;6;1113;-;-
Conceição (PB);9243;3213;422;104;5494;10;-
Condado (PB);3369;1466;162;27;1711;3;-
Conde (PB);10637;3107;1291;176;6012;51;-
Congo (PB);2309;808;77;13;1410;1;-
Coremas (PB);7728;3790;594;100;3243;1;-
Coxixola (PB);855;409;4;10;431;1;-
Cruz do Espírito Santo (PB);8164;2644;360;82;5077;1;-
Cubati (PB);3473;1655;203;59;1551;5;-
Cuité (PB);10145;3986;247;74;5836;2;-
Cuitegi (PB);3500;1075;286;49;2090;-;-
Cuité de Mamanguape (PB);3102;1093;83;12;1913;1;-
Curral de Cima (PB);2577;751;122;6;1698;-;-
Curral Velho (PB);1201;395;42;31;733;-;-
Damião (PB);2440;874;46;54;1466;-;-
Desterro (PB);4098;1330;209;328;2230;1;-
Vista Serrana (PB);1691;1103;97;13;478;-;-
Diamante (PB);3285;777;213;58;2237;-;-
Dona Inês (PB);5240;1614;268;32;3325;1;-
Duas Estradas (PB);1848;739;47;20;1042;-;-
Emas (PB);1644;636;95;9;904;-;-
Esperança (PB);15940;6943;458;141;8396;2;-
Fagundes (PB);5798;2092;163;37;3499;7;-
Frei Martinho (PB);1465;637;47;17;764;-;-
Gado Bravo (PB);4243;1753;99;29;2362;-;-
Guarabira (PB);28633;11876;1385;261;15085;26;-
Gurinhém (PB);6952;2182;335;30;4404;1;-
Gurjão (PB);1609;665;88;14;842;-;-
Ibiara (PB);2998;989;66;7;1936;-;-
Imaculada (PB);5645;1705;154;79;3707;-;-
Ingá (PB);9342;3069;384;89;5800;-;-
Itabaiana (PB);12630;5211;600;97;6706;16;-
Itaporanga (PB);11803;5447;828;165;5361;2;-
Itapororoca (PB);8437;3464;147;102;4720;4;-
Itatuba (PB);5152;1635;509;32;2976;-;-
Jacaraú (PB);7024;2989;287;55;3677;13;3
Jericó (PB);3844;1610;50;23;2161;-;-
João Pessoa (PB);385732;174453;23471;6732;180026;1050;-
Juarez Távora (PB);3818;1281;220;35;2282;-;-
Juazeirinho (PB);8410;2882;459;222;4838;9;-
Junco do Seridó (PB);3335;1387;131;21;1796;-;-
Juripiranga (PB);5108;1617;98;28;3360;5;-
Juru (PB);4929;1827;83;113;2906;-;-
Lagoa (PB);2377;1096;43;10;1228;-;-
Lagoa de Dentro (PB);3744;1387;74;25;2258;-;-
Lagoa Seca (PB);13157;5228;503;190;7231;5;-
Lastro (PB);1403;577;60;16;750;-;-
Livramento (PB);3640;1549;131;61;1899;-;-
Logradouro (PB);2004;824;49;9;1122;-;-
Lucena (PB);5898;1685;474;190;3528;21;-
Mãe d'Água (PB);2055;668;47;6;1334;-;-
Malta (PB);2910;1181;175;21;1533;-;-
Mamanguape (PB);21513;7775;935;270;12471;62;-
Manaíra (PB);5359;1528;183;211;3437;-;-
Marcação (PB);3715;392;43;8;384;2888;-
Mari (PB);10809;4202;496;126;5980;5;-
Marizópolis (PB);3157;1302;175;46;1633;1;-
Massaranduba (PB);6657;2620;229;169;3639;-;-
Mataraca (PB);3717;1313;133;39;2118;114;-
Matinhas (PB);2170;700;87;36;1347;-;-
Mato Grosso (PB);1353;382;16;1;954;-;-
Maturéia (PB);3039;972;328;183;1556;-;-
Mogeiro (PB);6413;2192;362;81;3772;6;-
Montadas (PB);2508;1040;30;28;1410;-;-
Monte Horebe (PB);2246;845;192;62;1147;-;-
Monteiro (PB);15867;5674;530;185;9468;10;-
Mulungu (PB);4839;1730;371;16;2716;6;-
Natuba (PB);5349;2167;381;84;2711;6;-
Nazarezinho (PB);3649;1673;69;19;1888;-;-
Nova Floresta (PB);5412;2079;217;118;2998;-;-
Nova Olinda (PB);3051;790;156;67;2038;-;-
Nova Palmeira (PB);2198;1074;73;70;978;3;-
Olho d'Água (PB);3579;2218;178;12;1171;-;-
Olivedos (PB);1774;865;60;8;841;-;-
Ouro Velho (PB);1458;550;98;16;792;2;-
Parari (PB);635;352;26;6;251;-;-
Passagem (PB);1126;429;31;9;657;-;-
Patos (PB);52869;25168;2803;734;24107;57;-
Paulista (PB);5959;2358;161;89;3350;1;-
Pedra Branca (PB);1874;743;125;9;997;-;-
Pedra Lavrada (PB);3741;2062;120;39;1518;2;-
Pedras de Fogo (PB);13565;4869;680;226;7783;7;-
Piancó (PB);8077;4068;270;45;3693;1;-
Picuí (PB);9269;3918;535;176;4630;10;-
Pilar (PB);5692;1945;539;124;3070;14;-
Pilões (PB);3461;966;155;75;2265;-;-
Pilõezinhos (PB);2612;792;106;25;1689;-;-
Pirpirituba (PB);5212;1714;245;63;3189;1;-
Pitimbu (PB);8415;1974;630;152;5642;17;-
Pocinhos (PB);8542;3866;406;81;4186;3;-
Poço Dantas (PB);1846;776;19;14;1037;-;-
Poço de José de Moura (PB);2045;676;45;58;1266;-;-
Pombal (PB);16729;8064;1193;256;7187;29;-
Prata (PB);1928;648;97;33;1150;-;-
Princesa Isabel (PB);10835;4065;388;212;6167;3;-
Puxinanã (PB);6567;2931;170;18;3445;3;-
Queimadas (PB);21113;8807;575;155;11575;1;-
Quixabá (PB);806;287;59;25;435;-;-
Remígio (PB);9202;3332;242;29;5599;-;-
Pedro Régis (PB);2875;1199;56;6;1613;1;-
Riachão (PB);1664;369;78;-;1217;-;-
Riachão do Bacamarte (PB);2182;794;139;6;1241;2;-
Riachão do Poço (PB);2078;909;47;20;1102;-;-
Riacho de Santo Antônio (PB);851;397;7;6;441;-;-
Riacho dos Cavalos (PB);4072;2103;82;39;1848;-;-
Rio Tinto (PB);11666;3814;449;144;6088;1171;-
Salgadinho (PB);1726;547;130;61;983;5;-
Salgado de São Félix (PB);6140;2577;262;40;3261;-;-
Santa Cecília (PB);3249;1415;29;5;1799;1;-
Santa Cruz (PB);3188;1767;90;1;1328;2;-
Santa Helena (PB);2743;936;34;26;1747;-;-
Santa Inês (PB);1716;580;121;25;990;-;-
Santa Luzia (PB);7581;3809;497;89;3186;-;-
Santana de Mangueira (PB);2634;808;55;3;1768;-;-
Santana dos Garrotes (PB);3754;1477;177;119;1981;-;-
Joca Claudino (PB);1347;374;77;19;877;-;-
Santa Rita (PB);62191;20488;4753;1135;35688;104;23
Santa Teresinha (PB);2305;961;59;26;1259;-;-
Santo André (PB);1301;584;54;63;600;-;-
São Bento (PB);15659;6937;462;162;8095;3;-
São Bentinho (PB);2123;979;148;5;991;-;-
São Domingos do Cariri (PB);1208;593;22;13;580;-;-
São Domingos (PB);1443;465;190;59;729;-;-
São Francisco (PB);1704;787;158;49;710;-;-
São João do Cariri (PB);2224;928;40;14;1240;2;-
São João do Tigre (PB);2149;634;195;23;1292;5;-
São José da Lagoa Tapada (PB);3884;1530;141;22;2190;1;-
São José de Caiana (PB);2958;1058;112;4;1783;1;-
São José de Espinharas (PB);2259;855;126;90;1188;-;-
São José dos Ramos (PB);2749;970;164;38;1576;1;-
São José de Piranhas (PB);9567;4469;464;84;4550;-;-
São José de Princesa (PB);2080;684;91;31;1274;-;-
São José do Bonfim (PB);1607;528;31;20;1028;-;-
São José do Brejo do Cruz (PB);835;339;14;10;472;-;-
São José do Sabugi (PB);1968;1005;33;35;891;4;-
São José dos Cordeiros (PB);2003;816;18;17;1152;-;-
São Mamede (PB);3911;2029;132;51;1696;3;-
São Miguel de Taipu (PB);3355;1181;291;25;1858;-;-
São Sebastião de Lagoa de Roça (PB);5618;2107;280;37;3194;-;-
São Sebastião do Umbuzeiro (PB);1619;552;32;12;1023;-;-
Sapé (PB);25490;9401;904;261;14912;12;-
São Vicente do Seridó (PB);4969;1514;293;74;3088;-;-
Serra Branca (PB);6639;2870;336;51;3375;7;-
Serra da Raiz (PB);1609;507;96;14;991;1;-
Serra Grande (PB);1473;354;51;11;1057;-;-
Serra Redonda (PB);3691;1377;148;47;2119;-;-
Serraria (PB);3146;1034;84;27;1999;2;-
Sertãozinho (PB);2252;679;77;8;1486;2;-
Sobrado (PB);3694;1425;89;24;2156;-;-
Solânea (PB);13929;5474;542;263;7635;15;-
Soledade (PB);6969;3122;208;18;3620;1;-
Sossêgo (PB);1588;702;34;13;838;1;-
Sousa (PB);34005;15306;2559;578;15525;37;-
Sumé (PB);8133;3178;316;55;4570;14;-
Tacima (PB);5100;1920;235;40;2905;-;-
Taperoá (PB);7590;2886;343;101;4255;5;-
Tavares (PB);7069;2608;483;200;3775;3;-
Teixeira (PB);7219;2668;260;173;4116;2;-
Tenório (PB);1347;589;24;4;730;-;-
Triunfo (PB);4650;1779;225;20;2626;-;-
Uiraúna (PB);7573;3370;424;188;3588;3;-
Umbuzeiro (PB);4789;2058;143;31;2553;4;-
Várzea (PB);1236;767;76;6;387;-;-
Vieirópolis (PB);2507;1180;76;58;1193;-;-
Zabelê (PB);1024;443;15;1;565;-;-
Abreu e Lima (PE);49304;16908;3885;473;27800;238;-
Afogados da Ingazeira (PE);18298;8161;599;155;9375;8;-
Afrânio (PE);8836;4147;985;83;3606;15;-
Agrestina (PE);11744;6028;735;87;4886;8;-
Água Preta (PE);16485;4526;728;123;11108;-;-
Águas Belas (PE);20569;6223;760;276;11469;1841;-
Alagoinha (PE);6846;2884;335;46;3563;18;-
Aliança (PE);18836;5924;1138;130;11610;34;-
Altinho (PE);11247;4687;388;49;6121;2;-
Amaraji (PE);10955;4170;272;41;6465;7;-
Angelim (PE);5184;1949;180;15;3040;-;-
Araçoiaba (PE);9129;2486;693;63;5883;4;-
Araripina (PE);39466;10772;2991;863;24816;24;-
Arcoverde (PE);36424;13290;2020;640;20273;201;-
Barra de Guabiraba (PE);6261;2549;196;15;3501;-;-
Barreiros (PE);20847;6046;1207;167;13412;15;-
Belém de Maria (PE);5718;2325;174;21;3198;-;-
Belém do São Francisco (PE);10293;2044;883;196;6952;218;-
Belo Jardim (PE);37652;15851;1064;159;20542;36;-
Betânia (PE);5995;1775;689;24;3507;-;-
Bezerros (PE);30618;17032;797;176;12589;24;-
Bodocó (PE);17537;4032;681;245;12567;12;-
Bom Conselho (PE);23499;7440;888;131;15006;34;-
Bom Jardim (PE);19349;8191;793;120;10244;1;-
Bonito (PE);18989;8397;509;82;9993;8;-
Brejão (PE);4510;1738;244;48;2476;4;-
Brejinho (PE);3699;1365;133;99;2102;-;-
Brejo da Madre de Deus (PE);23000;9187;771;170;12847;25;-
Buenos Aires (PE);6340;2083;458;39;3759;1;-
Buíque (PE);26464;6037;818;472;18837;300;-
Cabo de Santo Agostinho (PE);94166;30399;7592;1044;54990;140;1
Cabrobó (PE);15821;3980;1393;201;8423;1824;-
Cachoeirinha (PE);9715;4286;483;42;4896;8;-
Caetés (PE);13405;5676;367;167;7189;6;-
Calçado (PE);5559;1852;142;15;3550;-;-
Calumbi (PE);2926;850;88;15;1972;1;-
Camaragibe (PE);75254;27097;6034;940;41071;112;-
Camocim de São Félix (PE);8782;4238;350;36;4157;1;-
Camutanga (PE);4070;1477;107;24;2461;1;-
Canhotinho (PE);12156;4477;405;50;7224;-;-
Capoeiras (PE);9821;4563;361;58;4839;-;-
Carnaíba (PE);9408;3804;403;98;5083;20;-
Carnaubeira da Penha (PE);5793;783;128;34;2843;2005;-
Carpina (PE);39295;13666;2408;463;22714;43;1
Caruaru (PE);165759;85585;5599;1270;73097;208;-
Casinhas (PE);6967;3319;178;25;3444;1;-
Catende (PE);19517;7130;853;142;11355;37;-
Cedro (PE);5387;1679;285;50;3371;2;-
Chã de Alegria (PE);6308;1659;285;56;4308;-;-
Chã Grande (PE);10155;4626;293;67;5161;8;-
Condado (PE);12438;3797;701;32;7907;1;-
Correntes (PE);8809;3145;348;28;5288;-;-
Cortês (PE);6269;2060;217;43;3949;-;-
Cumaru (PE);8675;4191;309;47;4127;1;-
Cupira (PE);12340;5716;287;53;6275;9;-
Custódia (PE);17203;6533;829;208;9613;20;-
Dormentes (PE);8260;4312;314;73;3556;5;-
Escada (PE);32366;9694;1501;224;20940;7;-
Exu (PE);16151;3873;542;168;11560;8;-
Feira Nova (PE);10599;4038;476;75;6010;-;-
Fernando de Noronha (PE);1338;575;113;10;640;-;-
Ferreiros (PE);5788;2216;149;18;3403;2;-
Flores (PE);11231;4174;273;91;6693;-;-
Floresta (PE);14854;3383;798;268;9418;987;-
Frei Miguelinho (PE);7295;4404;79;26;2781;5;-
Gameleira (PE);13810;3866;778;151;9004;11;-
Garanhuns (PE);68432;28533;2983;934;35842;140;-
Glória do Goitá (PE);14853;4812;730;143;9162;6;-
Goiana (PE);39000;11984;2509;317;24153;37;-
Granito (PE);3404;574;92;90;2648;-;-
Gravatá (PE);39554;20249;990;218;18069;28;-
Iati (PE);9180;3169;197;67;5744;3;-
Ibimirim (PE);13604;3672;400;220;8368;944;-
Ibirajuba (PE);3743;1671;135;14;1918;5;-
Igarassu (PE);52705;15215;3658;690;33111;31;-
Iguaraci (PE);5864;2057;175;21;3611;-;-
Inajá (PE);9526;1699;550;193;6271;813;-
Ingazeira (PE);2206;1014;77;10;1105;-;-
Ipojuca (PE);40747;11568;3180;356;25586;57;-
Ipubi (PE);14265;3358;725;250;9929;3;-
Itacuruba (PE);2234;411;532;53;1080;158;-
Itaíba (PE);13214;3984;272;108;8834;16;-
Ilha de Itamaracá (PE);9320;2579;516;76;6131;18;-
Itambé (PE);17914;5798;1162;186;10762;6;-
Itapetim (PE);7031;3324;225;83;3385;14;-
Itapissuma (PE);11762;2984;988;146;7639;5;-
Itaquitinga (PE);7810;1844;370;145;5447;4;-
Jaboatão dos Guararapes (PE);339770;127472;24854;4095;182511;836;2
Jaqueira (PE);5796;2066;356;76;3294;4;-
Jataúba (PE);7959;2955;154;14;4833;3;-
Jatobá (PE);7126;1617;329;47;3570;1563;-
João Alfredo (PE);15873;6979;496;19;8374;5;-
Joaquim Nabuco (PE);7873;2400;351;85;5036;1;-
Jucati (PE);5332;2072;265;29;2962;4;-
Jupi (PE);7022;2663;225;25;4107;2;-
Jurema (PE);7408;3174;146;45;4037;6;-
Lagoa do Carro (PE);8153;3160;360;60;4571;2;-
Lagoa de Itaenga (PE);10589;3094;666;253;6569;7;-
Lagoa do Ouro (PE);6162;2698;126;32;3306;-;-
Lagoa dos Gatos (PE);7790;3110;256;82;4342;-;-
Lagoa Grande (PE);11443;2877;799;224;7518;25;-
Lajedo (PE);19210;8433;566;209;9996;6;-
Limoeiro (PE);28613;12286;1343;255;14718;11;-
Macaparana (PE);12259;4732;563;92;6872;-;-
Machados (PE);7045;2751;192;32;4070;-;-
Manari (PE);8955;2210;123;45;6570;7;-
Maraial (PE);6060;2097;195;28;3739;1;-
Mirandiba (PE);7192;921;862;161;4810;438;-
Moreno (PE);29032;9274;1776;185;17766;31;-
Nazaré da Mata (PE);16049;4406;1830;144;9663;6;-
Olinda (PE);203055;76098;17777;2774;105840;556;10
Orobó (PE);11811;5567;667;72;5504;1;-
Orocó (PE);6609;956;757;158;4615;123;-
Ouricuri (PE);32659;9996;1791;299;20558;15;-
Palmares (PE);30723;11244;1858;281;17329;11;-
Palmeirina (PE);4203;1551;88;28;2535;1;-
Panelas (PE);13057;4989;670;80;7316;2;-
Paranatama (PE);5483;2128;120;62;3172;1;-
Parnamirim (PE);9944;3403;238;68;6234;1;-
Passira (PE);14648;6118;503;45;7979;3;-
Paudalho (PE);26152;7796;1322;152;16872;10;-
Paulista (PE);158836;61964;14397;2531;79491;449;4
Pedra (PE);10471;3157;402;103;6809;-;-
Pesqueira (PE);32316;10898;717;310;15729;4662;-
Petrolândia (PE);16545;4593;826;224;9843;1059;-
Petrolina (PE);150710;49319;10451;1745;88799;394;2
Poção (PE);5867;2413;147;44;3206;57;-
Pombos (PE);12164;5070;332;74;6678;10;-
Primavera (PE);6557;2455;457;72;3559;14;-
Quipapá (PE);12268;4012;649;74;7513;20;-
Quixaba (PE);3414;1189;102;23;2100;-;-
Recife (PE);827885;352005;64454;8801;400545;2073;7
Riacho das Almas (PE);9745;5075;255;32;4382;1;-
Ribeirão (PE);22705;7907;1463;125;13196;14;-
Rio Formoso (PE);11024;2774;991;170;7072;17;-
Sairé (PE);5706;3030;198;39;2439;-;-
Salgadinho (PE);4633;2030;376;22;2205;-;-
Salgueiro (PE);29025;8057;2440;138;17395;995;-
Saloá (PE);7926;2698;248;104;4860;16;-
Sanharó (PE);11195;4131;453;102;6501;8;-
Santa Cruz (PE);6784;2742;162;88;3790;2;-
Santa Cruz da Baixa Verde (PE);5956;1995;392;98;3468;3;-
Santa Cruz do Capibaribe (PE);45209;20703;1400;589;22486;31;-
Santa Filomena (PE);6612;1916;127;45;4522;2;-
Santa Maria da Boa Vista (PE);19567;3326;2026;347;13740;128;-
Santa Maria do Cambucá (PE);6547;2923;308;25;3290;1;-
Santa Terezinha (PE);5606;2384;240;28;2954;-;-
São Benedito do Sul (PE);6924;2082;353;202;4283;4;-
São Bento do Una (PE);26678;11121;1023;208;14312;14;-
São Caitano (PE);18071;8064;571;103;9299;34;-
São João (PE);10871;3799;322;147;6596;7;-
São Joaquim do Monte (PE);10293;5009;239;31;5014;-;-
São José da Coroa Grande (PE);9313;2356;622;74;6260;1;-
São José do Belmonte (PE);16376;4288;820;137;11100;31;-
São José do Egito (PE);16311;6792;751;223;8530;15;-
São Lourenço da Mata (PE);52879;17976;4268;533;30037;65;-
São Vicente Ferrer (PE);8631;3365;212;37;5014;3;-
Serra Talhada (PE);41405;15293;1989;433;23613;77;-
Serrita (PE);9132;2404;316;60;6346;6;-
Sertânia (PE);17287;6348;622;221;10090;6;-
Sirinhaém (PE);19948;4845;1520;183;13398;2;-
Moreilândia (PE);5541;1643;178;63;3657;-;-
Solidão (PE);2842;1622;87;23;1106;4;-
Surubim (PE);30521;15207;423;111;14775;5;-
Tabira (PE);13460;6764;356;51;6289;-;-
Tacaimbó (PE);6469;2951;226;74;3216;2;-
Tacaratu (PE);10909;2145;617;172;5949;2026;-
Tamandaré (PE);10305;2527;444;46;7277;11;-
Taquaritinga do Norte (PE);12571;6074;203;20;6273;1;-
Terezinha (PE);3466;1304;70;33;2055;4;-
Terra Nova (PE);4555;1137;197;23;3198;-;-
Timbaúba (PE);27921;10672;1661;302;15245;41;-
Toritama (PE);18133;8380;361;123;9256;13;-
Tracunhaém (PE);6692;1808;499;22;4363;-;-
Trindade (PE);13220;3515;486;402;8813;4;-
Triunfo (PE);7826;3270;361;42;4129;24;-
Tupanatinga (PE);12310;3722;570;182;7492;344;-
Tuparetama (PE);4073;1586;133;58;2296;-;-
Venturosa (PE);8192;3273;222;59;4624;14;-
Verdejante (PE);4658;983;226;67;3368;14;-
Vertente do Lério (PE);4006;2071;53;7;1875;-;-
